squadra,categoria,nome_forum,analisi_forum,player_id
BOL,SCONSIGLIATO,DOMINGUEZ,"Da wonderkid del finale di stagione 24-25, Benjo sembra essere diventato l'ultima delle alternative sulle fasce. Qualche presenza ed un solo assist la scorsa stagione, bottino miserissimo nonostante qualche occasione gli sia stata data. Troppo gracile e fumoso per la massima serie italiana, è probabile che gli venga cercata una sistemazione quest'estate, qualora comunque rimanesse non vale nemmeno una spesa scommessa da ultimissimi slot.",6895
CAG,CONSIGLIATO,FAZZINI,"Andati via i nostri giocatori più tecnici, Fazzini è l'acquisto che dovrebbe prendere il loro posto sotto questo profilo; al momento, non c'è nessuno più indicato di lui per essere il leader tecnico della squadra, cosa che può tradursi in voti più alti rispetto ai compagni di squadra dato che potrebbe essere l'unico a provare a creare qualcosa in partite in cui le cose dovessero mettersi male, tenendo conto che ha un discreto dribbling e potrebbe risaltare agli occhi dei giornalisti se ispirato. Non sappiamo se alla lunga giocherà sulla trequarti o come mezzala; nel secondo caso magari sarà più lontano dalla porta, però è bravo a inserirsi e qualche bonus pesante ci aspettiamo lo porti lo stesso. Inoltre pare si stia già incaricando di tirare angoli e punizioni dirette e indirette, cosa che potrebbe anche dargli qualche assist. Insomma, non è un top, però è il nostro giocatore più valido a centrocampo, e probabilmente in generale rispetto al ruolo: se non ci sarà troppo hype nei suoi confronti, si può portare a casa una bella presa a una cifra ragionevole.",6010
CAG,CONSIGLIATO,CAPRILE,"Non un portiere che utilizzeremmo come primo, se non in leghe molto numerose, tipo dai 14 in su: il motivo è che sarà difficile subire meno di 50 gol in campionato, e purtroppo questo aspetto non dipende da lui. Da lui però dipendono i voti, che in generale sono abbastanza alti e lo rendono un buon profilo da modificatore, così come la costanza (sbaglia qualche partita, ma relativamente poche nell'arco di una stagione). C'è il problema che non è facile da gestire, dato che le partite che sbaglia raramente sono contro le grandi, mentre contro le squadre di alta classifica ha una percentuale di clean sheet più alta di quello che ci si aspetterebbe; per questo motivo, ha forse senso utilizzarlo come secondo di un portiere discreto ma non eccezionale, e utilizzarlo quando il primo ha partite che vorreste evitare - in altre parole, regolarvi sulle partite dell'altro più che sulle sue. Di buono c'è che potete prenderlo anche senza riserva, dato che le gerarchie sono consolidate.",4360
CAG,POSSIBILE SORPRESA,OBERT,"Difensore dalla titolarità dubbia e prestazioni non eccezionali: questo era Obert fino a metà della scorsa stagione. Da allora è migliorato molto, interpretando bene il ruolo di esterno del 352 (anche se in maniera meno offensiva rispetto a Palestra sull'altra fascia), migliorando la sua media voto, risultando spesso sufficiente e portando anche qualche assist, cosa che non stupisce dato che con i piedi ha fatto vedere qualcosa di valido anche prima di questo turning point . Probabilmente quest'anno giocheremo con la difesa a quattro: questo non dovrebbe rappresentare né un problema né un grande cambiamento per lo slovacco, che potrà comunque giocare in maniera non troppo diversa dalla scorsa stagione, anzi senza Palestra potrebbe essere anche più offensivo. Non ci aspettiamo un terzino da bonus (ok, magari un gol e tre assist li fa anche, ma non stiamo parlando del Nuno Tavares di due anni fa): quello che ha senso aspettarsi è un difensore per riempire il reparto, che però performa meglio della scartina titolare a 1 presa come riempitivo, sia in termini di bonus che di MV.",5701
CAG,POSSIBILE SORPRESA,MALDINI,"Sinora non ha fatto nulla di eccezionale in carriera, soprattutto in termini fantacalcistici. Alcuni giocatori però sono venuti fuori a Cagliari, chissà se non succeda anche con lui: con ottime probabilità sarà titolare, e si ritroverà come giocatore offensivo in un contesto che, almeno nel precampionato, dà l'impressione di creare gioco nonostante i pochi gol segnati. Inoltre potrebbe incaricarsi di tirare alcuni piazzati, non sappiamo se i rigori dato che sono un punto di domanda enorme fino a quando non ce ne danno uno, ma resta una possibilità. I numeri che ci aspettiamo non sono molto alti per un attaccante, ma può rappresentare una discreta copertura che dovrebbe garantire il voto sempre e ogni tanto può essere schierata titolare, mentre da centrocampista può essere una bella scommessa che magari ora non va a costare tantissimo e può portare un discreto bottino di gol, e da T al Mantra un'alternativa ai titolari, o una discreta seconda T. Non pagatelo tanto, ma ricordatevi il suo nome durante l'asta, quando magari state finendo gli attaccanti o i centrocampisti da bonus.",4896
CAG,SCONSIGLIATO,MINA,"Forse non ve lo aspettavate e in realtà è più un monito che un vero e proprio sconsigliato. Mina anche quest'anno ha rifiutato varie offerte estere, è il leader di questo Cagliari e quando sta bene giocherà sicuramente titolare. Vi mettiamo in guardia circa la sua condizione fisica, l'anno scorso ha giocato 26 partite, quest'anno potrebbero essere anche di meno considerando che ha saltato la preparazione e tornerà ad allenarsi con la squadra la settimana della Coppa Italia. La nostra indicazione è di non spendere tanto per lui, perchè Mina all'asta di Agosto, papabile rigorista, va sempre abbastanza alto. Quest'anno sia Deiola che Kofler potrebbero farlo rifiatare più di una volta, gli anni passano anche per lui, anche rimanendo la colonna difensiva dei rossoblu.",4210
CAG,SCONSIGLIATO,BORRELLI,"Anche lui potrebbe essere pagato più del dovuto, soprattutto nelle prime aste, quando verrà dato ancora titolare. Borrelli è un giocatore molto utile per la manovra di gioco, bravo a proteggere il pallone, a fare sponde e guerre con i difensori avversari, ma lato bonus lascia parecchio a desiderare (3 su 5 gol li ha segnati a porta libera). In avanti la concorrenza è tanta, dubitiamo possa fare il titolare, sarà magari più utile a partita in corso. Se giocate in leghe a 8 o a 10, non considerate per nulla il suo acquisto, da 12 in poi si può iniziare a ragionarci.",6243
COM,CONSIGLIATO,DOUVIKAS,"La nostra sensazione che rispetto ad altri colleghi può andare più sottotraccia. Il potenziale offensivo del Como è molto elevato e lui è in grado di raccogliere al meglio la quantità di palloni che gli verrà servita. Ci sentiamo che anche quest'anno può dare il suo contributo, come già anticipato, con almeno un 15 goal.",7017
COM,CONSIGLIATO,PERRONE/DA CUNHA,"Si, non vogliamo andare sul classico Paz e Baturina, perchè noi sappiamo già che loro sono i pezzi da 90. Noi vogliamo valorizzare gli outsiders. Entrambi hanno una fantastica media voto anche senza bonus, ma per non farci mancare nulla anche quelli poco a poco si sono accumulati. Da Cunha ha il plus di essere anche rigorista. Se volete solidità al vostro centrocampo, loro fanno al caso vostro",6151
COM,CONSIGLIATO,RAMON,"Uno dei migliori difensori da MOD in circolazione, assolutamente nella TOP 5. Può avere un ottimo rapporto qualità/prezzo per chi vuole puntare al modificatore. E non scherziamo quando diciamo che vale quanto un Bastoni o un Bremer.",6869
COM,POSSIBILE SORPRESA,KAIKI,"L'impressione fin qui (dalle amichevoli) è che Kaiki ha dei margini di miglioramento e parte da una base solida. Confrontandolo con Valle, lo spagnolo tecnicamente e atleticamente ha tanto da offrire, ma ci sembra che in alcune giornate è fenomenale, in altre completamente distratto. Il brasiliano alla lunga può dare delle garanzie a Fabregas che Valle per certi versi non ha dato, anche perchè con una difesa molto alta, Kaiki ci sembra avere maggiore concentrazione ed ""elaborazione dati"" (tradotto, fare la scelta giusta in momenti difficili).",7414
COM,POSSIBILE SORPRESA,MILLA,"Anche qui ci buttiamo su uno degli ultimi arrivati. Pensiamo che sia uno dei giocatori che più verrà usato da Fabregas, perchè ci sembra molto versatile e con basi tecniche/atletiche abbastanza consolidate. E' vero, non è trai più giovani in rosa, ma da l'impressione di essere letteralmente un ""professionista"" e poter avere tante energie da spendere. Ci aspettiamo un giocatore che potrebbe darvi diversi 6.5. Invece dal lato bonus non mancano gli assist però non puntatelo sperando che possa ripetere la stagione del Getafe con 10 assist (qui c'è più ""distribuzione"" dei bonus)",7412
COM,SCONSIGLIATO,KEMPF,"Sappiamo che il suo rendimento è buono, ma come al solito ci sono due fattori che ci portano qui: la concorrenza, che potrebbe aumentare e l'essere sempre coinvolto nelle nostre situazioni difficili. Cioè se il Como prende 1 goal, lui è probabilmente coinvolto nell'errore. E se il como dovesse prenderne 3, lui probabilmente è coinvolto almeno in 1 di questi 3. Quindi questo ci porta ad essere leggermente ""attenti"" a puntarci con ferma certezza. Non è da evitare come Morata, ma non fatevi ingolosire dai goal e spendere troppo su di lui. Scommessa da pochi crediti.",6893
COM,SCONSIGLIATO,CAQUERET,"Purtroppo dobbiamo inserirlo in questa sezione, ma per diversi motivi. Ad 1 credito potrebbe sicuramente essere un acquisto accettabile, ma temiamo che le tante alternative potrebbero anche ritoccare il suo minutaggio. Finora nel precampionato non ci è sembrato troppo coinvolto, cioè si è molto limitato a fare il compitino. Se qualcuno ci scommette è per avere quanto meno delle chance di bonus, perchè a livello di titolarità o voto ci sono giocatori più affidabili, per questo in lega a 10 ad 1 credito va bene, altrimenti valutate altri tappabuchi",5036
COM,SCONSIGLIATO,MORATA,Non ve lo aspettavate eh?,313
FIO,CONSIGLIATO,DE GEA,"Le doti del portiere iberico le conosciamo. Al suo primo anno a Firenze ebbe un impatto semplicemente devastante e riuscì a smentire chiunque lo considerasse ormai finito, portando a casa ""solo"" 38 gol subiti, 11 clean sheet, 2 rigori parati e una MV di 6,34, che lo mise in cima alla classifica dei portieri insieme a Carnesecchi. Fu anche il terzo assoluto per FM. L'anno scorso anche lui ha risentito delle difficoltà della squadra, con un numero di reti subite ben superiore (49), 10 clean sheet, un rigore parato e una MV comunque valida di 6,21. E' risultato l'undicesimo portiere per FM, dato comunque discreto se si considera che la squadra ha lottato a lungo per non retrocedere. Che annata ci aspettiamo quest'anno? La parola d'ordine del calcio di Grosso sembra essere ""equilibrio"". Il tecnico si è distinto a Sassuolo non solo per i risultati ottenuti, ma anche per una fase difensiva attenta del quale il primo a beneficiare potrebbe essere proprio De Gea. E' vero che sarà difficile ripetere i fasti della stagione 24-25, ma al tempo stesso ci aspettiamo un sensibile miglioramento rispetto alla stagione scorsa. Crediamo che De Gea possa assestarsi immediatamente sotto ai portieri delle big in termini di rendimento complessivo, distinguendosi per una MV molto interessante, che potrebbe essere importante soprattutto per chi utilizza il modificatore. I numeri non eccezionali dell'anno scorso inoltre potrebbero limitare il suo valore in sede d'asta e potrebbe rivelarsi davvero una bella presa, magari in abbinamento a un altro titolare di una medio-piccola nel caso di leghe dai 10 in giù.",2521
FIO,CONSIGLIATO,ATTA,"Il talento francese si candida ad essere l'uomo in più del centrocampo viola. La sua ascesa è impressionante e, dopo un anno di ""rodaggio"", l'anno scorso è esploso definitivamente in quel di Udine, consegnando ai bianconeri una stagione da 5 gol, 3 assist e MV di 6,36, segno di una continuità impressionante (appena 5 voti sotto il 6) e di una grande capacità di essere decisivo nella metà campo avversaria. L'approdo a Firenze sembra essere l'ulteriore step da completare prima della consacrazione definitiva in una big e i tifosi della Fiorentina sperano proprio che Atta riesca a dimostrare di poter fare ancora di più. Le doti ci sono tutte e il gioco di Grosso, capace di esaltare le mezzali complete come lui, sembra il contesto giusto per far si che possa regalare ai suoi fantapossessori una stagione da protagonista assoluto. L'aspetto negativo è legato alla ""mediaticità"" del suo acquisto che, sicuramente, vi renderà difficile pagarlo poco. Tuttavia abbiamo pochi dubbi sul suo rendimento e crediamo che possa rappresentare un perfetto secondo slot (anche primo in leghe numerose). Fate solo in modo di non strapagarlo, a meno che non arriviate con tanti crediti e vi vada di mettere a tutti i costi una ciliegina sulla torta.",6908
FIO,POSSIBILE SORPRESA,VIERY,"Il brasiliano classe 2006 sembra essere il prototipo del difensore moderno. Nasce terzino e pertanto è dotato di una buona tecnica, che lo rende efficace in impostazione. Non è altissimo, ma comunque abile nel gioco aereo, oltre a essere piuttosto rapido e - da quanto leggiamo - anche brillante dal punto di vista del posizionamento, delle letture difensive e dei contrasti. Insomma, sembra avere tutto per fare bene, ma è nostro compito anche limitare gli entusiasmi. Parliamo comunque di un giocatore che arriva dal campionato brasiliano, dove spesso le difese sono abbastanza allegre e pertanto dovrà inevitabilmente adattarsi rapidamente al tatticismo della serie A. Se dovesse riuscirci allora potrebbe rivelarsi una presa molto interessante, dato che ha dimostrato di saper essere pericoloso anche sul gioco aereo in area avversaria. Che fare quindi con lui? Noi vi consigliamo di non pagarlo più di tanto e di inquadrarlo - come dice questa sezione - in uno slot sorpresa. Preso a poco potrebbe infatti rivelarsi una nota lietissima per le vostre rose, ma al tempo stesso non neghiamo che c'è il rischio che in caso di qualche errore di troppo possa scivolare indietro nelle gerarchie, con due vecchie volpi come Ranieri e Pongracic che non vedono l'ora di soffiargli il posto.",7410
FIO,POSSIBILE SORPRESA,GUDMUNDSSON,"Da leggere con attenzione: il mercato di Paratici è stato esplosivo in queste settimane e c'è tanto hype sulla squadra. Per questo probabilmente tanti giocatori viola saranno pagati tanto, forse anche troppo in relazione al potenziale reale. Quindi noi mettiamo qui un giocatore che, al contrario, non avrà i riflettori puntati addosso, complice un'esperienza a Firenze che fin qui ha scottato tanti fantallenatori. E perché metterlo fra le sorprese? Proprio perché comunque sembra che al momento non ci siano tante offerte per il giocatore, che potrebbe rimanere in viola, e quindi potreste riuscire a portarlo a casa per poco, soprattutto se fate l'asta con il mercato ancora aperto. È probabile che qualche innesto sugli esterni offensivi arrivi comunque, ma il campionato sarà lungo e dispendioso e, anche se non dovesse partire come un titolare sulla carta, il giocatore avrà modo di ritagliarsi un po' di spazio e parleremmo, a prescindere, di un centrocampista che gioca in attacco e che probabilmente si incaricherà di diversi piazzati (rigori compresi) quando in campo. Insomma, il classico prospetto che preso a pochi crediti e con poche aspettative potrebbe rivelarsi una sorpresa utile a completare le vostre rose.",5800
FIO,SCONSIGLIATO,PONGRACIC,"Il buon Marin al momento sembra destinato a rimanere in rosa, ma il rischio di una stagione da rincalzo si fa concreto. Con le uscite di Moreno e Comuzzo e con il giovane Kospo che sembra destinato ad andar via in prestito, il croato rimane l'unica alternativa di piede destro a Dragusin, che però, con ogni probabilità, sarà un titolare fisso. Di fatto quindi per Pongracic sembra esserci speranza solo come centrale di sinistra, ma anche in quella posizione ci pare improbabile che riesca a scalzare sia Viery che Ranieri, i quali sono entrambi mancini naturali e quindi più adatti a giocare a sinistra. Ecco che quindi, di fatto, Pongracic si ritrova a essere al massimo una buona alternativa ai titolari, fattore che ne mina parecchio l'utilità fantacalcistica. A questo aggiungiamo che, di fatto, si tratta di un giocatore buono solo per il voto, in quanto la sua MV non è mai stata particolarmente regolare, che non sia per nulla prolifico a livello di bonus, che soffra qualche problema fisico di troppo e - infine - il numero decisamente alto di cartellini che rimedia. Insomma, resta davvero poco di buono e pertanto vi consigliamo di stare alla larga da lui, a meno che non facciate leghe davvero numerose e lo vogliate prendere a copertura di Dragusin.",5603
FIO,SCONSIGLIATO,MANDRAGORA,"In questo caso non parliamo di uno sconsigliato in senso assoluto. Anzi, il buon Rolando resta un interprete che ci piace molto e che pensiamo potrà avere un ruolo comunque importante nella stagione viola. Tuttavia, ci sembra doveroso suggerirvi di stare molto attenti con lui. Mandragora infatti è reduce da una stagione sorprendente: nonostante l'andamento pessimo della Fiorentina, l'ultima annata l'ha visto protagonista di un exploit importante, non solo per i 7 gol siglati, ma anche per una serie di prestazioni di alto livello che l'hanno visto spesso premiato dai pagellisti, e con buon merito. Soprattutto nella prima parte del campionato, quando la squadra sembrava colare a picco, Mandragora è stato spesso il migliore dei suoi dimostrando grande attaccamento e voglia di fare, fatto che gli ha permesso di portare a casa una MV importante. Perché lo sconsigliamo allora? Perché crediamo che sarà molto difficile per lui confermare questi numeri, ma al tempo stesso siamo consapevoli che difficilmente in un'asta un centrocampista reduce da 7 gol possa passare inosservato. Anzi, il rischio che venga pagato cifre importanti è concreto e noi vi diciamo serenamente che in quel caso è meglio rinunciare senza troppi patemi. Grosso infatti sembra intenzionato ad arretrare il suo raggio d'azione, facendolo giocare da mediano davanti alla difesa e, perciò, in una posizione più lontana dall'area avversaria. Aggiungiamo che in quella posizione è stato preso anche Inao Oulai, che sicuramente parte davanti a Rolando nelle gerarchie, e capite bene che il rischio è quello di ritrovarvi un giocatore che non garantirà il voto a ogni giornata (anche se crediamo che comunque lo potrà portare spesso) e che difficilmente potrà avvicinare il numero di bonus raggiunti nelle scorse annate. Insomma, resta un elemento che può essere valido per completare il reparto, sperando che Oulai paghi l'impatto con il nuovo campionato, ma vi sconsigliamo di valutarlo più di pochissimi crediti e di assegnargli uno slot superiore agli ultimissimi del vostro centrocampo.",1933
FRO,CONSIGLIATO,GHEDJEMIS,"Talento a dir poco cristallino, vero funambolo e spina nel fianco di qualsiasi difensore l' anno scorso in cadetteria. Trascina il Frosinone alla promozione in A e si candida ad essere la stella della squadra. 15 gol e, si spera, definitiva consacrazione del calcio che conta? Arrivò in Ciociaria nel gennaio 2024 come riserva di Soulè, oggi potrebbe ricalcarne le orme. Le speranze di salvezza del Frosinone passano anche dai suoi piedi, l' algerino è pronto ad esplodere",6530
FRO,CONSIGLIATO,CALO',"Il secondo ""fenomeno"" della squadra è sicuramente lui. Jack Calò arriva finalmente in serie A pronto a giocarsi le sue carte dopo una stagione strabiliante in serie B. 15 assist e 10 gol per il nostro folletto pronto a disegnare calcio anche nella massima serie. Arriva all' alba dei 30 anni nel miglior panorama calcistico nazionale e siamo sicuri che tanti parleranno di lui appena lo vedranno all' opera. Giocherà davanti la difesa ma è il designato per ogni singolo calcio piazzato: Rigori, punizioni e angoli saranno tutti di sua competenza. Siamo sicuri che il nostro ""mago del centrocampo"" sarà pronto a sfornare bonus per i suoi fantallenatori",7472
FRO,POSSIBILE SORPRESA,HASA,"Luis Hasa arriva a titolo definitivo dal Napoli dopo aver disputato una grandissima stagione in serie B con la Carrarese in cui ha giocato 31 partite condite da 5 gol e 4 assist. Piede educatissimo, grande tecnica individuale, visione di gioco e rapidità nello stretto lo rendono la mezzala che mancava al Frosinone. Inoltre, spesso viene coinvolto nella manovra offensiva ed è abilissimo negli inserimenti senza palla. Due anni fa, in prestito a Lecce, non incise per niente, totalizzando solo 1 presenza. Dopo l' esperienza in B, Hasa è pronto a rimettersi in gioco per dimostrare a tutti che in questo campionato può starci. Quest' anno trova una squadra che gli ha dato fiducia, comprandolo dal Napoli a titolo definitivo a 2,5 milioni di euro. Sarà pronto a ripagare le aspettative? il nostro chip sulla sorpresa di quest' anno và su di lui",6903
FRO,SCONSIGLIATO,CENTRALI DI DIFESA,"Al netto di chi giocherà o chi arriverà, stiamo parlando di una squadra neopromossa, votata all' attacco, che potrebbe ricalcare le orme dell' ultima apparizione in serie A quando alla guida c' era Di Francesco. Probabilmente questa squadra potrebbe essere più solida, ma giocando all' attacco come già confermato da Mister Alvini, il rischio di diversi gol presi è elevato. Questo inevitabilmente porterà a malus e voti horror soprattutto per i centrali. Schierare uno di loro potrebbe essere spesso un azzardo",
GEN,CONSIGLIATO,COLOMBO,"Letteralmente rinato sotto la cura De Rossi, può fare quel salto di qualità definitivo e con la fiducia che avverte può attestarsi come un perfetto terzo slot nei vostri attacchi, senza pagarlo troppo; chiaramente non è diventato un bomber di razza, e qualche occasione e relativa insufficienza potrà arrivare, ma crediamo che la doppia cifra sia tutt'altro che irraggiungibile",4923
GEN,CONSIGLIATO,OSTIGARD & VASQUEZ,"I due baluardi difensivi, il norvegese più bomber (e occhio ai rigori...) e con qualche più errore difensivo commesso, il messicano sempre più certezza da modificatore e che fa della costanza il suo marchio di fabbrica; potete puntare comunque su entrambi, visto che il mister ha dimostrato di dare molto valore alla fase difensiva e di conseguenza i loro voti potrebbero ulteriormente beneficiarne",5750
